PlayerGagged,,,"Hun, speak clearer if you want to become a star.",,
FailIntro0,,,Cut!  That's enough hun!  I told you to be sexy.,,
FailIntro1,,,"Cut!  Sorry hun, you don't have what it takes to be a star.",,
FailIntro2,,,"Cut!  Hun, you're too boring to be a porn star.",,
FailIntro3,,,Cut!  That doesn't work hun.  You forgot to spice up your play.,,
0,,,It's an honor to see you Mistress DialogPlayerName.  Are you here to review the scenario?,,"DialogLogQuery(""ClubMistress"", ""Management"")"
0,,,You're DialogPlayerName the kidnapper?  We could use someone like you in our next film.,,"DialogReputationGreater(""Kidnap"", 50)"
0,,,"Hey maid DialogPlayerName, the studio could use some cleaning.  We also need some fresh coffee.",,"DialogReputationGreater(""Maid"", 50)"
0,,,"Hey there, are you looking to become a star in the next movie?",,
0,,"Hi, I'm DialogPlayerName.","Pleased to meet you hun, I'm DialogCharacterName.  I'm directing the next movie.",DialogRemove(),
0,,Can you help me?,"Go find a maid, I have a movie to shoot.",,Player.IsRestrained()
0,,Are you looking for actresses?,"All the time.  If you're not shy, we could hire you.  You could become the next bondage idol.",,
0,,Do actresses get paid?,"Of course, hun.  The better the performance, the better the salary.",,
0,,How long are the movies?,"Most movies roll for around half an hour, we divide them in scenes of ten minutes.",,
0,,How do you know if a movie is good?,We judge each ten minutes scene individually.  They must all be sexy and nonrepetitive for the movie to be sold.,,
0,1000,What are you filming?,"The movie is called: ""The Interview"".  It's the story of a curious journalist that comes to the Bondage Club to interview a Mistress.  Are you interested?",,
0,,Take care.  (Leave her.),,DialogLeave(),
1000,,Tell me about the script.,"The script is open hun, as long as it's sexy.  It starts with a journalist that comes in advance to interview a Mistress and finds herself waiting in a room full of toys.",,
1000,,What roles are available?,"There's a role for a journalist, a Mistress and a maid.  But you'll need to be a true Club Mistress or Maid for the last two.",,
1000,,Can actors improvise?,Oh yeah!  We give you a starting situation and you can roll with it.  Just make sure the movie is sexy and will sell well.,,
1000,1010,I want to play in that movie.,"Great!  Which role would you like to take?  The journalist, the maid or the Mistress?",,CanPlayInMovie()
1000,,I want to play in that movie.,"(She checks your locks.)  Sorry hun, get yourself unlocked first if you want to be a star.",,!CanPlayInMovie()
1000,0,I'm not interested.,"Fine, make some room for the next movie star then.",,
1010,1020,I'll be the journalist.,The starring role!  You will do fine hun.,,
1010,,I'll be the maid.,"Sorry maid DialogPlayerName, this role is already taken today.  Maybe it will be available later.",,"DialogLogQuery(""JoinedSorority"", ""Maid"")"
1010,,I'll be the maid.,"Sorry, this role is for real maids only.",,"!DialogLogQuery(""JoinedSorority"", ""Maid"")"
1010,1100,I'll be the Mistress.,"Of course, Mistress DialogPlayerName.  This role will be perfect for you.",,"DialogLogQuery(""ClubMistress"", ""Management"")"
1010,,I'll be the Mistress.,"Sorry, this role is for real Mistresses only.",,"!DialogLogQuery(""ClubMistress"", ""Management"")"
1010,0,I'm not sure about this.,"Fine, make some room for the next movie star then.",,
1020,1021,What should I do?,"You start the movie by entering a dungeon room with an X-Cross and a drawer full of latex clothes and cuffs, be curious!",,
1020,1021,How does it start?,"You start the movie by entering a dungeon room with an X-Cross and a drawer full of latex clothes and cuffs, be curious!",,
1021,1022,There are other actresses?,The maid will come in for the second scene and see what you've did to yourself.  She will play with you.,,
1021,1022,And what's next?,The maid will come in for the second scene and see what you've did to yourself.  She will play with you.,,
1022,1023,What about the Mistress?,"The Mistress comes in third, finding both you and the maid.  This will be the hottest scene.",,
1022,1023,And after that?,"The Mistress comes in third, finding both you and the maid.  This will be the hottest scene.",,
1022,1023,(Take a few notes.),"The Mistress comes in third, finding both you and the maid.  This will be the hottest scene.",,
1023,1024,There are only three scenes?,"Correct.  We are filming an adult movie here, not Lord of the Cock Rings.  Are you ready?",,
1023,1024,And that's it?,"Correct.  We are filming an adult movie here, not Lord of the Cock Rings.  Are you ready?",,
1024,1025,I'm ready to shoot.,"This is wonderful hun, you'll become a star.  Go get changed and we'll start filming when you get back.",,
1024,1025,I'll be the greatest journalist!,"This is wonderful hun, you'll become a star.  Go get changed and we'll start filming when you get back.","DialogChangeReputation(""Dominant"", 2)",
1024,1025,I will try my best Miss Director.,"This is wonderful hun, you'll become a star.  Go get changed and we'll start filming when you get back.","DialogChangeReputation(""Dominant"", -2)",
1024,0,I've changed my mind.,"Fine, make some room for the next movie star then.",,
1025,1026,(Go change.),You look fabulous.  Now enter the room and we'll start recording.  Remember to be curious and sexy my star!,"Change(""Journalist"")",
1026,,(Start the movie.),,"Progress(""Interview"", ""1"", ""Journalist"")",
1030,1040,(Struggles happily.),(The crew releases you and help you to dress back up.  The full team celebrates with you.),PlayerDressBack(),Player.IsRestrained()
1030,1040,(Give a thumbs up.),(The crew helps you to dress back up.  The full team celebrates with you.),PlayerDressBack(),!Player.IsRestrained()
1040,1050,That was fun!,"I'm glad you had fun, keep on working like that and you might make big money someday.",,
1040,1050,I was so nervous.,"You did really good hun, keep on working like that and you might make big money someday.","DialogChangeReputation(""Dominant"", -2)",
1040,1050,I will be a star!,"Hun, you're not Pamela Anderson yet, but keep on working and you might make big money.","DialogChangeReputation(""Dominant"", 2)",
1050,1060,Talking about money...,,GetMoney(),
1050,1060,How much does it pay?,,GetMoney(),
1050,1060,No need for money.  I'd like that camera though.,"The journalist camera?  It's yours then, you deserve it.  (She gives you the camera.)",GetCamera(),CanGetCamera()
1050,1060,No need for money.  I'd like that gavel though.,"The wooden gavel from the trial?  Keep it, you deserve it.  (She gives you the gavel.)",GetGavel(),CanGetGavel()
1060,1070,Thanks a lot.,"My pleasure.  We'll probably shoot another movie soon, come back later.",,
1060,1070,I might do another movie.,"Great!  We'll probably shoot another movie soon, come back later.",,
1070,,,We are done filming for now.  Please come back later.,,
1070,,(Leave her.),,DialogLeave(),
1100,1110,Tell me of the role.,You enter on the third and last scene.  Your character is expecting to see a journalist but will find a club member playing with a maid.,,
1100,1110,What should I do?,You enter on the third and last scene.  Your character is expecting to see a journalist but will find a club member playing with a maid.,,
1110,1120,What are they doing there?,They are having fun in your reserved interview room.  You should teach them a lesson in front of the camera.,,
1110,1120,They are using my interview room?,"Exactly!  They should not be in your interview room, so you need to teach them a lesson in front of the camera.",,
1120,1130,I discipline the club member?,It's up to you Mistress DialogPlayerName.  Just make sure it's spicy and the camera can catch the action.,,
1120,1130,I discipline the maid?,It's up to you Mistress DialogPlayerName.  Just make sure it's spicy and the camera can catch the action.,,
1120,1130,I discipline both of them?,It's up to you Mistress DialogPlayerName.  Just make sure it's spicy and the camera can catch the action.,,
1130,1140,And that's it?,"That's it, the movie ends there.  Your character is only there for the final scene.  Just make sure it's hot and nonrepetitive.  Are you ready to shoot?",,
1130,1140,What goes on after the punishment?,"That's it, the movie ends there.  Your character is only there for the final scene.  Just make sure it's hot and nonrepetitive.  Are you ready to shoot?",,
1140,1150,I'm ready to shoot.,Great!  You can use your regular Mistress clothes for the role.  (A maid helps you to change.),"Change(""Mistress"")",
1140,0,I've changed my mind.,This is perfectly fine.  We will try to find another Mistress then.,,
1150,,(Start the movie.),,"Progress(""Interview"", ""3"", ""Mistress"")",
MovieSalary,,,(She checks her purse and gives you SALARYAMOUNT $.)  Here's your salary hun.  You deserve it.,,
Fail,Fail2,What?  You're stopping the movie?,That movie wasn't going anywhere.  We can't produce a boring film.  Dress back up.,PlayerDressBack(),
Fail,Fail2,Wait!  It was about to get hot.,You're cold as ice.  We can't produce a boring film.  Dress back up.,PlayerDressBack(),
Fail,Fail2,(Sigh and bow your head.),That performance was horrible.  We can't produce a boring film.  Dress back up.,PlayerDressBack(),
Fail2,0,"I'm so sorry, can I try again?","Don't cry girl, you can try again if you have the guts.  We will prepare another shoot.","DialogChangeReputation(""Dominant"", -2)",
Fail2,0,Can I have another chance?,"Sure, you can if you have the guts.  We will prepare another shoot.",,
Fail2,0,This is bullshit!,"No need to get angry, you can try again if you have the guts.  We will prepare another shoot.","DialogChangeReputation(""Dominant"", 2)",
Fail2,0,I guess I'm not going to Hollywood.,"Probably not, but you can try again if you have the guts.  We will prepare another shoot.",,
